Rule Name,Description 1,Description 2,Budget Name
#General Videogames,,Videogames,Videogames
Mortgage,MORTGAGE PAYMENT,,Mortgage
Dining,,Dining,Groceries Dining
Groceries Provigo,PROVIGO,,Groceries
Groceries Maxi,MAXI,,Groceries
General Groceries,,Groceries,Groceries
Groceries Pharmaprix,PHARMAPRIX,,Groceries
Clothing_Mari,,Clothing M,Clothing Mari
Clothing_Fabio,,Clothing F,Clothing Fabio
Mari_Stuff,,Mari,Mari
Fabio_Stuff,,Fabio,Fabio
General Misc,,Misc,Misc
Hydro,HYDRO BILL,HYDRO-QUEBEC,Hydro
Celular,FIZZ,Celular,Celular Fizz
Internet,FIZZ,Internet,Internet Fizz
Insurance,INSURANCE,LA PERSONNELLE,Home Insurance
Condo,MISC PAYMENT,EQ8,Condo
Spotify,Spotify,,Spotify
Netflix,NETFLIX,,Netflix
Amazon Prime,Amazon.ca Prime Member,,Amazon Prime
Home Insurance,INSURANCE,CIE BELAIR Home,Home Insurance
Car Insurance,INSURANCE,CIE BELAIR Car,Car Insurance
Car Lease,AUTOMOBILE RENT,SUBARU FINANCE,Car Lease
Car Gas Costco,COSTCO ESSENCE,,Car Gas
Gifts,,Gifts,Gifts Other
Travels,,Travels,Travels
Shows,,Shows,Shows
Home,,Home,Home
Videogames,,Videogames,Videogames
Gym Fabio,ECONOFITNESS ADMIN,,Exercises
